Description,Start Date,End Date,Quantity,Unit,tCO2e,Month,Material Type
Diesel,2023-12-31,2023-12-31,15.003,gallons,0.15734201211,Dec '23,
Gas,2023-12-31,2023-12-31,54.67,dollars,0.4818734074,Dec '23,
Diesel,2023-12-31,2023-12-31,9.941,gallons,0.10425494517,Dec '23,
Gas,2023-12-31,2023-12-31,50.53,dollars,0.4453825366,Dec '23,
Gas,2023-07-07,2023-12-31,49.07,dollars,0.4325137754,Dec '23,
Diesel,2023-08-23,2023-12-31,9.719,gallons,0.10192674903,Dec '23,
Waste Management,2023-08-22,2023-09-14,3.51,tons,0.40145625,Sep '23,Waste Management
Diesel,2023-08-07,2023-08-23,36.37,gallons,0.3814256469,Aug '23,
Waste Management,2023-08-10,2023-08-22,4.75,tons,0.54328125,Aug '23,Waste Management
Waste Management,2023-07-19,2023-08-10,4.72,tons,0.5398499999999999,Aug '23,Waste Management
Diesel,2023-06-02,2023-08-07,31.818,gallons,0.33368713866,Aug '23,
Waste Management,2023-05-19,2023-07-19,3.3,tons,0.3774375,Jul '23,Waste Management
Gas,2023-07-07,2023-07-07,12.0,gallons,0.10577064,Jul '23,
Gas,2023-06-21,2023-07-07,9.232,gallons,0.08137287903999998,Dec '23,
Gas,2023-06-08,2023-06-21,12.0,gallons,0.10577064,Dec '23,
Gas,2023-05-04,2023-06-08,25.0,gallons,0.2203555,Dec '23,
Diesel,2023-12-31,2023-06-02,9.242,gallons,0.09692427354000001,Dec '23,
Waste Management,2023-04-06,2023-05-19,3.4,tons,0.388875,May '23,Waste Management
Gas,2023-05-04,2023-05-04,9.107,gallons,0.08027110153999999,May '23,
Gas,2023-04-01,2023-05-04,9.24,gallons,0.0814433928,Dec '23,
Waste Management,2023-03-23,2023-04-06,4.55,tons,0.52040625,Apr '23,Waste Management
Gas,2023-04-01,2023-04-01,24.176,gallons,0.21309258272,Apr '23,
Gas,2023-03-30,2023-04-01,9.107,gallons,0.08027110153999999,Dec '23,
Gas,2023-03-30,2023-03-30,24.176,gallons,0.21309258272,Mar '23,
Gas,2023-03-08,2023-03-30,24.176,gallons,0.21309258272,Dec '23,
Waste Management,2023-03-23,2023-03-23,4.4,tons,0.5032500000000001,Mar '23,Waste Management
Gas,2023-03-08,2023-03-08,22.45,gallons,0.197879239,Dec '23,
Gas,2023-03-08,2023-03-08,24.176,gallons,0.21309258272,Mar '23,
